	title	price_spaces	price_mortgage	address_line	photos	area	floor	rooms_cnt	district	street	metro
0	Продажа 7-комнатной квартиры, 288.1м²	60 000 000	60000000	Москва, м. Бауманская, Посланников пер, 3С5	['https://gedcdn.gdeetotdom.ru/b/b8ddf65a09cc71275dbb75bbfaa1e582-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/3c986a575b6c1b76bd522cecc4c2b918-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/29a168cff210e1b4f6165203a93ddc43-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/f20b21fc1c0154af688817a95467a41d-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/49dd1882aeb2705e933cd4c02203c4f3-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/56122b439694db9d5eae83ee03d46e00-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/fb813c72c6443d5e4e745d23be3ddf08-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/ae82559fb65946ae71a09c6393d00be6-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/a6ccd31d123e04f92bdf1d1f3b264917-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/ff8acc1b2674e7b7c625380f8d23a3ee-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/7c12962653a53083b8daf27e20f88af1-cb558x408.jpeg', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454430347/911921.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454430347/15329936.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454430347/15329937.frb']	288 м²	11 из 12	7	Басманный	пер. Посланников	['Бауманская']
1	Продажа 1-комнатной квартиры, 36.6м²	10 300 000	10300000	п. Сосенское, м. Коммунарка, Василия Ощепкова, 2	['https://vc4.gdeetotdom.ru/picmen/558x408/1666346063/770215447.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665663362/770194969.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665676663/770200111.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665676663/770200112.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665781555/770200113.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1666346073/770215442.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1666346061/770215446.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1666346062/770215448.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1666346070/770215445.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1666346067/770215443.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1666346071/770215449.frb']	37 м²	5 из 15	1			['Коммунарка']
2	Продажа 3-комнатной квартиры, 131м²	125 308 068	125308068	Москва, м. Университет, Мосфильмовская ул, 8	['https://vc4.gdeetotdom.ru/picmen/558x408/1648995399/753617132.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1654711002/753617134.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1658198293/753617136.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662611645/753665273.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1551091313/646630117.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1555411376/651001557.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1552139815/647908680.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1639058822/739241384.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1542898435/636258138.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1639048508/739236398.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1639048512/739236402.frb']	131 м²	51 из 53	3	Раменки	ул. Мосфильмовская	['Университет']
3	Продажа 1-комнатной квартиры, 29м²	14 928 775	14928775	Москва, м. Калужская, Академика Челомея, 7Ас2	['https://vc4.gdeetotdom.ru/picmen/558x408/1662114902/766844572.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1638613893/738499372.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662028687/766833435.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662110639/766833829.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662028624/766833831.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662028682/766833832.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662028736/766833830.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1641566483/738552584.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1638615961/738502474.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1638616022/738502476.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1638615962/738502484.frb']	29 м²	2 из 12	1	Обручевский	ул. Академика Челомея	['Калужская']
4	Продажа 2-комнатной квартиры, 74м²	49 500 000	49500000	Москва, м. Серпуховская, Мытная, 7с1	['https://vc4.gdeetotdom.ru/picmen/558x408/1633292898/729369728.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1633292912/729379364.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1633292948/729379362.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1633292880/729369726.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1633292896/729369724.frb', 'https://gedcdn.gdeetotdom.ru/b/0b3ad72eecfc988e42c7e0a8a4c7b283-cb558x408.jpeg']	74 м²	12 из 13	2	Замоскворечье	ул. Мытная	['Серпуховская']
5	Продажа 1-комнатной квартиры, 53м²	37 400 000	37400000	Москва, м. Серпуховская, Мытная, 7с1	['https://vc4.gdeetotdom.ru/picmen/558x408/1633292898/729369728.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1633292912/729379364.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1633292948/729379362.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1633292880/729369726.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1633292896/729369724.frb', 'https://gedcdn.gdeetotdom.ru/b/0b3ad72eecfc988e42c7e0a8a4c7b283-cb558x408.jpeg']	53 м²	13 из 13	1	Замоскворечье	ул. Мытная	['Серпуховская']
6	Продажа 1-комнатной квартиры, 24м²	14 454 684	14454684	Москва, м. Мичуринский проспект, ул. Лобачевского, 114	['https://vc4.gdeetotdom.ru/picmen/558x408/1661599140/766392675.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1651315190/756462518.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1651373202/756465089.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1651376378/756462519.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1661591058/766392663.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1661596800/766393834.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1661599144/766392674.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1661599134/766392673.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1661599144/766392664.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1646393224/751572494.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1647943437/751616652.frb', 'https://gedcdn.gdeetotdom.ru/b/690c6b6497b931bb53394687d2ee8bc3-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/b53ae60d93481f84ccebe184d00bd0e1-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/3efbc48f8fabd25c68576515ef2270cf-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/ba812fa73ba9ddaa7f1fc22f3e830e00-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/0cc9171350b7aca66aa79e0c527f89a8-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/a6e8fb8e6ce193f828366d04e89f4c7c-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/100895e40a4002d080d5ecff7529b32b-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/b063f03174da345613d1f7b23b855f65-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/c1a843c19f464d567b8149520dc34f8d-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/a8abe8006b1d713eb57c2566763fe53c-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/548ad91f84d1c04aa7a9bff166454929-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/00861c4e65a46ab00fdf52d79efcd9d2-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/5367f7ba2e4c53a17fc739e181b68414-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/20248fdbc587b7223b8d6c8a74276389-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/b4d6b6c5b5c9d7e71d65fc65fc69e11f-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/a89b29f42a64243fe605c5df319fd72a-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/bb179bdeeb30bb6aeecb522dd64491e6-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/8cc7663b285ee9c3dd78019775b782f8-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/eba4e410e3c99ea13a28b346ac56da9c-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/a1ae9db6f6681caae4aa41b28ea29301-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/5cdacbb50f312723e93e8c5163611c72-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/01b5fca258aabf9399f568d79da80858-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/8deec840a631f4b57ad7c1cb9b444740-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/08c9c4715c9cd6199f23db70976ff92a-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/947828918bf4e53a959a76d978c28b04-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/4f5c1506255c6091dcbae547e5af061f-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/483715a2221e3dd3b4d9e2a701dbae78-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/74ac76417775a56e44b33f405243b7f7-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/46ebf32a487c35af6fc6ad255a0ee621-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/7cc8d5b7ec990e51699d8a4b052b2ae4-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/8216a4c20b3ec91e5f9af40b55cde361-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/d4c65ac9d360a9ce3ab7a2228a33aa04-cb558x408.jpeg']	24 м²	2 из 51	1	Раменки	ул. Лобачевского	['Мичуринский проспект']
7	Продажа 3-комнатной квартиры, 62.2м²	9 500 000	9500000	Знамя Октября п., м. Силикатная, Остафьево, Знамя Октября п., 11	['https://vc4.gdeetotdom.ru/picmen/558x408/1663216802/767884094.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1663216791/767884093.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1663216790/767902033.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1663216788/767902036.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1663216791/767902035.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1663216814/767902032.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1663216801/767902034.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1666408528/770932494.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668928027/773377053.frb']	62 м²	4 из 5	3	Рязановское		['Силикатная', 'Остафьево']
8	Продажа 3-комнатной квартиры, 120м²	52 996 180	52996180	Москва, м. Терехово, Нижние Мнёвники, уч. 37Б	['https://vc4.gdeetotdom.ru/picmen/558x408/1639646405/739916664.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1639741256/739960142.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1640025007/739927196.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1639565944/739916666.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1639565943/739916660.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1639565931/739916656.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1639565943/739916662.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1639565944/739916668.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1639646281/739916658.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1639565944/739916670.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1639565943/739914944.frb', 'https://gedcdn.gdeetotdom.ru/b/b1d4433e64e1be3a16347b48a44008c7-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/4ccf609089a08ed500b9a9eaff1059bc-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/2fda1d45d24e47ee7915e3b57689fe43-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/f9b1fc5930bdd22854e4f03e6863b861-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/9f617f5ec8f2f45a926cbc573f846c29-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/0cc78cfbdf09962cda80031fe1f14b60-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/d3e2485d55bfe44e1ab76a79bb5515d9-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/b8b1416dc3ee9a898ac0d3292db420b3-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/c94c2ba132ab83de59d92410b148c5bf-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/0b87e98f7dbe55ccdefd576b858e3cc0-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/3988850699b96e62c1bf49ec8814425b-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/17cc163491d444c8899fdedd406c38ca-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/b284358646839f241bf275c5e18afdc1-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/1b1b26f482e94a7d3d8c8ec45d8c38ca-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/a046ea43a68f64f0a996c862af6ce876-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/f41eaec8560f402a670cee6f9e13ee13-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/b987740c6fc278157725cfd22bb06bf7-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/aa2a62aea724fa10199049cc99a84563-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/3fd76a1eb6c8c14989a95b2253b0f109-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/4534a6e1b3c0bae13447264edd6e3b0d-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/8af14d0a691ba961087a0d5645a36f42-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/9c4282fa8513919ea70b9235d7f39704-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/29cc81026b1d31b847136b55f6c85a4f-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/adb047c2de90b24fe9ba8ff77daa747e-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/72bc97a763884890034cbdfdfaaf4baa-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/dab070b82894a229077b5e973259869d-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/2bca063e80730df312b59cf231fbe63f-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/a44c47bbdb88436db3e573fc1e9bd357-cb558x408.jpeg', 'https://gedcdn.gdeetotdom.ru/b/f1b2cc4ab64013f7ac094938bbeaa401-cb558x408.jpeg']	120 м²	3 из 11	3	Хорошево-Мневники	ул. Нижние Мневники	['Терехово']
9	Продажа 2-комнатной квартиры, 55м²	13 100 000	13100000	Москва, м. Братиславская, Марьино, Люблинская ул., 76	['https://vc4.gdeetotdom.ru/picmen/558x408/1665009128/769516478.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665009171/769516480.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665009130/769516482.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665009129/769516484.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665009163/769517563.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665009170/769517562.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665009189/769517564.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665009167/769517560.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665009187/769517570.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665009188/769517559.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1666692169/769755252.frb']	55 м²	13 из 24	2	Люблино	ул. Люблинская	['Братиславская', 'Марьино']
10	Продажа 2-комнатной квартиры, 63.1м²	23 000 000	23000000	Москва, м. Юго-Западная, Вернадского проспект, 105к4	['https://vc4.gdeetotdom.ru/picmen/558x408/1658770757/763107815.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1658770757/763107816.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1658771917/763107817.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1660680801/763125125.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1660680801/763125124.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1660680801/763125130.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1660680801/763125131.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1660680801/763125126.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1660680801/763125129.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1660680801/763125128.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1660680801/763125127.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454567641/15113821.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786261/15113822.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786261/15113823.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786261/15113824.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786261/15113825.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786261/15113826.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786261/15113827.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786262/15113828.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786262/763744.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786262/15113815.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786263/15113816.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454556636/15113817.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786263/15113818.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786263/15113819.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454786264/15113820.frb']	63 м²	10 из 33	2	Тропарево-Никулино	просп. Вернадского	['Юго-Западная']
11	Продажа 3-комнатной квартиры, 81м²	20 500 000	20500000	Москва, м. Народное Ополчение, Хорошёво, Мнёвники ул., 7	['https://vc4.gdeetotdom.ru/picmen/558x408/1664459422/769084059.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664459422/769091701.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664459422/769091702.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664488473/769091703.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664510978/769141360.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664511002/769141361.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664511002/769141359.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664510979/769141358.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664510978/769141357.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664511004/769141355.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664510979/769141354.frb']	81 м²	8 из 12	3	Хорошево-Мневники	ул. Мневники	['Народное Ополчение', 'Хорошёво']
