	title	price_spaces	price_mortgage	address_line	photos	area	floor	rooms_cnt	district	street	metro
12	Продажа 1-комнатной квартиры, 37.2м²	8 800 000	8800000	Москва, м. Некрасовка, Рождественская ул., 19	['https://vc4.gdeetotdom.ru/picmen/558x408/1668937735/773382370.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668937735/773382371.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669217973/773382372.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669369792/773399228.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669369734/773399229.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669369741/773399224.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669369737/773399225.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669369742/773399230.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669369744/773399227.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669369744/773399223.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669369736/773399226.frb']	37 м²	6 из 22	1		ул. Рождественская	['Некрасовка']
13	Продажа 2-комнатной квартиры, 38.5м²	11 100 000	11100000	Москва, м. Нахимовский Проспект, Нагорная, Профсоюзная, Нахимовский проспект, 14	['https://vc4.gdeetotdom.ru/picmen/558x408/1665675835/770189951.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665675835/770189953.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665675831/770189955.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665680151/770205709.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665680148/770205710.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665680154/770205707.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665680150/770205704.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665680148/770205708.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665680150/770205706.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665680152/770205711.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1665680153/770205705.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1459966350/15204442.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1459006584/15204443.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1460983001/15204444.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454737054/15204445.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454034902/15204446.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454585563/15204447.frb']	39 м²	8 из 9	2	Котловка	просп. Нахимовский	['Нахимовский Проспект', 'Нагорная', 'Профсоюзная']
14	Продажа 2-комнатной квартиры, 52.3м²	12 100 000	12100000	Москва, м. Первомайская, Измайловская, Новогиреево, Челябинская ул., 6	['https://vc4.gdeetotdom.ru/picmen/558x408/1668064761/772468116.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668064763/772468117.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1666424826/770866920.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668064764/772513014.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668064930/772513017.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668064800/772513015.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668064761/772513025.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668064863/772513021.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668064762/772513023.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454608924/15124355.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454757730/15124356.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454757730/15124357.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454757730/826857.frb']	52 м²	11 из 12	2	Ивановское	ул. Челябинская	['Первомайская', 'Измайловская', 'Новогиреево']
15	Продажа 3-комнатной квартиры, 62.7м²	11 700 000	11700000	Москва, м. Ховрино, Краснополянская ул., 8	['https://vc4.gdeetotdom.ru/picmen/558x408/1662506545/767260092.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662506545/767260093.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662460511/767260094.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662517795/767323606.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662517732/767323608.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662517743/767323576.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662517741/767323604.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662517729/767323578.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662517807/767323609.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662517734/767323603.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662517740/767323607.frb']	63 м²	4 из 12	3	Дегунино Западное	ул. Краснополянская	['Ховрино']
16	Продажа 3-комнатной квартиры, 75.5м²	28 000 000	28000000	Москва, м. Фили, Новозаводская ул., 8	['https://vc4.gdeetotdom.ru/picmen/558x408/1662530587/767272351.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662530575/767272352.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662530585/767272353.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662530642/767343444.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662530658/767343447.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662530572/767343445.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662530635/767343441.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662530707/767343442.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662530570/767343438.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662530585/767343440.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662530570/767343443.frb']	76 м²	4 из 8	3	Филевский Парк	ул. Новозаводская	['Фили']
17	Продажа 1-комнатной квартиры, 40м²	13 500 000	13500000	Москва, м. Таганская, Николоямская ул., 39/43	['https://vc4.gdeetotdom.ru/picmen/558x408/1668537782/772897357.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668537826/772897359.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662477016/767259565.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668537779/772897360.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668537787/772897363.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668537776/772897362.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668537786/772897361.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662804367/767647267.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662804423/767647266.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662804417/767647271.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662804367/767647270.frb']	40 м²	5 из 8	1	Таганский	ул. Николоямская	['Таганская (КЛ)']
18	Продажа 2-комнатной квартиры, 46м²	10 500 000	10500000	Москва, м. Саларьево, Картмазовские Пруды ул., 2	['https://vc4.gdeetotdom.ru/picmen/558x408/1669828722/774106630.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669828752/774106631.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669937209/774106632.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1670061460/774137642.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1670061488/774137640.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1670061459/774137644.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1670061460/774137646.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1670061457/774137645.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1670061458/774137641.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1670061399/774137647.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1670061423/774137643.frb']	46 м²	4 из 22	2			['Саларьево']
19	Продажа 2-комнатной квартиры, 70м²	24 900 000	24900000	Москва, м. Новопеределкино, Чоботовская ул., 2	['https://vc4.gdeetotdom.ru/picmen/558x408/1662466892/767259926.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662466912/767259927.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662456558/767259928.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662534899/767351093.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662534723/767351087.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662534781/767351085.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662534773/767351083.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662534769/767351098.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662534777/767351086.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662534784/767351084.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662534769/767351097.frb']	70 м²	23 из 23	2	Ново-Переделкино	ул. Чоботовская	['Новопеределкино']
20	Продажа 3-комнатной квартиры, 94.58м²	32 900 000	32900000	Москва, м. Баррикадная, Краснопресненская, Маяковская, Садовая-Кудринская ул., 8-10-12	['https://vc4.gdeetotdom.ru/picmen/558x408/1662459565/767262196.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662459525/767262197.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662459495/767262198.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662459877/767262666.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662459522/767262664.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662459560/767262663.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662459525/767262669.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662459874/767262662.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662459877/767262668.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662459565/767262665.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1662459581/767262667.frb']	95 м²	2 из 7	3	Пресненский	ул. Садовая-Кудринская	['Баррикадная', 'Краснопресненская', 'Маяковская']
21	Продажа 2-комнатной квартиры, 39м²	12 999 999	12999999	Москва, м. Коломенская, Новинки ул., 9	['https://vc4.gdeetotdom.ru/picmen/558x408/1664555950/769157568.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664555950/769157569.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664625522/769157570.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664625519/769259240.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664625524/769259235.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664625527/769259242.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664625525/769259243.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664625519/769259238.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664625525/769259241.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664625521/769259239.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1664625521/769259236.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1455954105/886217.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1458474458/15200280.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1456194870/15200281.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1457688958/886220.frb']	39 м²	5 из 12	2	Нагатинский Затон	ул. Новинки	['Коломенская']
22	Продажа 3-комнатной квартиры, 72.8м²	23 900 000	23900000	Москва, м. Профсоюзная, Новые Черемушки, Цюрупы ул., 8	['https://vc4.gdeetotdom.ru/picmen/558x408/1668862974/773302155.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668862974/773302156.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668862943/773302157.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668868342/773314300.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668868352/773314302.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668868335/773314297.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668868334/773314299.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668868356/773314301.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668868354/773314298.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668868350/773314304.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668868347/773314303.frb']	73 м²	6 из 17	3	Черемушки	ул. Цюрупы	['Профсоюзная', 'Новые Черемушки']
23	Продажа 3-комнатной квартиры, 55.9м²	11 300 000	11300000	Москва, м. Выхино, Снайперская ул., 12	['https://vc4.gdeetotdom.ru/picmen/558x408/1668518443/772880411.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668518446/772880412.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668523196/772880413.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668523166/772887900.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668523198/772887898.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668523168/772887899.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668523168/772887896.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668523171/772887902.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668523181/772887903.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668523189/772887901.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668523171/772887897.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454328936/755491.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454426216/755492.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1455523684/755493.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1454514492/755494.frb']	56 м²	5 из 9	3	Вешняки	ул. Снайперская	['Выхино']
24	Продажа 4-комнатной квартиры, 147.4м²	70 000 000	70000000	Москва, м. ЦСКА, Полежаевская, Гризодубовой ул., 4	['https://vc4.gdeetotdom.ru/picmen/558x408/1669471014/773819413.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669463532/773819414.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669471032/773819415.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669471029/773827118.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669471020/773827122.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669471011/773827121.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669487487/773827124.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669471016/773827119.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669471027/773827123.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669471023/773827125.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669471017/773827117.frb']	147 м²	2 из 18	4	Хорошевский	ул. Гризодубовой	['ЦСКА', 'Полежаевская']
25	Продажа 1-комнатной квартиры, 38м²	10 400 000	10400000	Москва, м. Борисово, Борисовские Пруды ул., 12	['https://vc4.gdeetotdom.ru/picmen/558x408/1667825444/772271516.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1667825450/772271517.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668497627/772848835.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668082415/772271518.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668592683/772906625.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668592679/772326295.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668592799/772906623.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668592686/772906624.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668592744/772326301.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668592681/772326298.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668975960/773399395.frb']	38 м²	15 из 17	1	Братеево	ул. Борисовские Пруды	['Борисово']
26	Продажа 2-комнатной квартиры, 43.5м²	10 990 000	10990000	Москва, м. Речной вокзал, Флотская ул., 20	['https://vc4.gdeetotdom.ru/picmen/558x408/1669974407/774269329.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669974459/774269330.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669975302/774269331.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669975354/774269428.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669975323/774269430.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669975303/774269429.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669975302/774269433.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669975324/774269432.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669975323/774269434.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669975324/774269431.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1453993352/15194497.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1453993352/15194498.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1453993352/15194499.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1453993352/15194500.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1453993352/15194501.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1453993352/15194502.frb']	44 м²	9 из 9	2	Головинский	ул. Флотская	['Речной вокзал']
27	Продажа 2-комнатной квартиры, 51м²	17 900 000	17900000	Москва, м. Новые Черемушки, Университет, Новаторская, Ленинский проспект, 91	['https://vc4.gdeetotdom.ru/picmen/558x408/1668163060/772614199.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668163290/772614200.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668171043/772614201.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668176986/772624627.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668176986/772624625.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668176987/772624626.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668176986/772624623.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668176987/772624629.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668176985/772624628.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668176985/772624624.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668176988/772624622.frb']	51 м²	6 из 8	2	Ломоносовский	просп. Ленинский	['Новые Черемушки', 'Университет', 'Новаторская']
28	Продажа 3-комнатной квартиры, 72.6м²	16 500 000	16500000	Москва, м. Первомайская, Парковая 15-я ул., 23	['https://vc4.gdeetotdom.ru/picmen/558x408/1666958733/771436833.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1666958732/771436831.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1666958728/771436834.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668593038/771445576.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668593165/771445577.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1667972692/771445573.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668593046/771445572.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668593036/771445575.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668593037/771445571.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668593037/771445574.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668593038/771445578.frb']	73 м²	3 из 5	3	Измайлово Восточное	ул. Парковая 15-я	['Первомайская']
29	Продажа 2-комнатной квартиры, 45.5м²	10 990 000	10990000	Москва, м. Шоссе Энтузиастов, Перовская ул., 4	['https://vc4.gdeetotdom.ru/picmen/558x408/1668258225/772683800.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1668325064/772683802.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669029603/772688607.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1670579790/774658760.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669029514/772688617.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669029571/772688609.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669029512/772688613.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669029511/772688615.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669029515/772688619.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669029544/772688611.frb', 'https://vc4.gdeetotdom.ru/picmen/558x408/1669029542/772688605.frb']	46 м²	2 из 12	2	Перово	ул. Перовская	['Шоссе Энтузиастов']
